BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	3284	3284	3284
Contact period end (sample #):	7999	7999	7999	3323	3323	3323
Contact period start time (s):	0.000000	0.000000	0.000000	3.284000	3.284000	3.284000
Contact period end time (s):	7.999000	7.999000	7.999000	3.323000	3.323000	3.323000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	658.043884	658.043884	658.043884	658.043884	658.043884	658.043884
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 29, 2025  14:13:51
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.232000	5.566785	3.095998	658.445435	0.214522	0.286009	2.445905
0.233000	5.566785	3.176213	657.977997	0.214522	0.166185	2.287863
0.234000	4.842000	2.494593	653.445618	0.134632	0.046362	1.022132
0.235000	4.963068	2.534036	654.225555	0.414393	0.325798	3.082020
0.236000	5.687851	3.175772	659.695206	-0.065240	-0.153039	-0.564545
0.237000	5.325460	2.975451	656.572861	0.574173	0.645022	4.348079
0.238000	5.003154	2.815017	655.166016	-0.344708	-0.352439	-2.941844
0.239000	4.962663	2.573923	655.006378	0.494283	0.445621	3.555652
0.240000	4.882086	2.573923	654.382690	-0.144837	-0.272633	-0.722258
0.241000	5.406036	3.014894	657.665466	0.414393	0.365815	2.764372
0.242000	5.406036	3.135441	657.197250	0.254321	0.206203	2.447307
0.243000	4.761424	2.453820	652.822006	0.254321	0.166415	2.131060
0.244000	4.842000	2.534036	653.289261	0.254321	0.286009	2.448454
0.245000	5.566785	3.055224	658.444702	-0.105038	-0.113021	-0.406831
0.246000	5.244479	2.935120	656.104004	0.534375	0.645022	4.509582
0.247000	5.083326	2.774244	655.163605	-0.464397	-0.392457	-3.574827
0.248000	5.002345	2.653697	654.382065	0.534082	0.525198	3.556891
0.249000	4.801106	2.413489	653.446579	-0.105038	-0.033444	-0.406012
0.250000	5.405632	3.055224	657.977524	0.334503	0.325798	2.605839
0.251000	5.325055	3.055224	656.571320	0.094541	0.126397	1.337560
0.252000	4.720530	2.413489	652.196793	0.214522	0.286009	2.447307
0.253000	4.680444	2.453376	652.040375	0.214522	0.285780	2.604438
0.254000	5.485805	3.055224	658.600250	-0.225020	-0.192827	-1.672890
0.255000	5.284565	3.095112	656.729355	0.574173	0.525198	4.984033
0.256000	5.002345	2.774244	654.851089	-0.264818	-0.312651	-1.830366
0.257000	4.961854	2.733915	654.539108	0.414393	0.525198	4.031671
0.258000	4.719721	2.573037	653.756866	-0.065240	-0.033444	-0.246568
0.259000	5.444910	3.215215	658.289398	0.374302	0.286009	3.082020
0.260000	5.242862	3.135441	656.569702	0.134632	0.086609	1.813412
0.261000	4.679635	2.573923	652.977631	0.214522	0.206203	2.287863
0.262000	4.759403	2.734357	652.350723	0.254321	0.286009	2.289011
0.263000	5.404015	3.215215	658.754990	-0.144837	-0.153039	-1.038666
0.264000	5.202372	3.255546	656.413452	0.574173	0.445621	4.189454
0.265000	5.041219	3.015338	655.319229	-0.304910	-0.232845	-2.305308
0.266000	5.001133	3.015338	654.692261	0.534082	0.564986	4.348079
0.267000	4.920152	2.894791	654.066971	-0.064947	-0.152809	-0.405101
0.268000	5.605254	3.576856	658.443985	0.414393	0.245992	2.288191
0.269000	5.443696	3.496637	657.192596	0.334503	0.286009	2.605839
0.270000	4.879662	2.975451	652.974503	0.134632	0.166415	1.656518
0.271000	5.121391	3.055667	653.129166	0.254321	0.286009	2.130478
0.272000	5.604446	3.335762	658.599457	-0.144837	-0.192827	-1.357463
0.273000	5.604446	3.497082	656.569702	0.693862	0.645022	5.458155
0.274000	5.484188	3.296761	655.786575	-0.504488	-0.312651	-3.733360
0.275000	5.282544	3.135884	654.378769	0.534082	0.564986	4.508763
0.276000	5.403610	3.055667	654.220917	-0.025148	-0.113021	-0.088035
0.277000	6.088713	3.778063	659.223938	0.374302	0.365815	3.239734
0.278000	5.927156	3.536968	658.443192	0.174431	0.126397	1.338541
0.279000	5.363524	3.055667	653.442657	0.294705	0.206203	2.605511
