BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	3302	3302	3302
Contact period end (sample #):	7999	7999	7999	3365	3365	3365
Contact period start time (s):	0.000000	0.000000	0.000000	3.302000	3.302000	3.302000
Contact period end time (s):	7.999000	7.999000	7.999000	3.365000	3.365000	3.365000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	658.043884	658.043884	658.043884	658.043884	658.043884	658.043884
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 29, 2025  14:05:40
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.196000	3.692045	2.671178	655.913139	0.044607	0.001741	0.991093
0.197000	4.135014	3.072705	658.414932	0.444058	0.480348	3.053622
0.198000	4.336253	3.353243	660.290947	-0.154971	-0.118083	-1.544157
0.199000	4.013947	2.871498	656.850304	0.484149	0.520365	3.369707
0.200000	3.692045	2.711507	655.445717	0.124790	0.121335	1.783520
0.201000	4.376743	3.313356	660.912071	0.403966	0.281177	2.576859
0.202000	4.215186	3.112592	659.351402	0.284278	0.201371	1.783520
0.203000	3.812708	2.791724	655.757675	0.284278	0.161123	2.260612
0.204000	4.094523	3.032375	657.161240	0.324369	0.400771	2.259211
0.205000	4.215186	3.032375	658.878357	0.124790	0.001741	1.467602
0.206000	4.255272	3.113034	658.100807	0.284278	0.320735	1.626556
0.207000	4.255272	3.193251	657.476326	0.124790	-0.038277	0.673536
0.208000	4.134610	3.032818	656.693962	0.444058	0.400541	2.893105
0.209000	3.973052	2.711950	654.976768	0.284278	0.121335	1.942964
0.210000	4.617260	3.313356	660.600433	0.364168	0.360753	2.734572
0.211000	4.536683	3.313356	659.192650	0.444350	0.400771	3.209513
0.212000	4.134205	2.752280	655.757675	0.164589	0.121335	1.625807
0.213000	4.214782	2.832054	656.068764	0.283985	0.360753	1.942145
0.214000	4.738327	3.273468	661.222450	0.364168	0.121794	2.733494
0.215000	4.576770	3.113034	659.038071	0.004516	0.161123	0.200471
0.216000	4.375126	2.912714	656.538597	0.204680	0.041529	1.624168
0.217000	4.294550	2.872827	656.224304	0.404259	0.400771	2.893105
0.218000	4.415617	2.872827	657.316780	0.164589	0.161123	1.626227
0.219000	4.778413	3.353685	659.818092	0.284278	0.121335	1.625316
0.220000	4.576365	3.193694	658.411896	0.444058	0.440559	3.369869
0.221000	4.334636	2.711950	655.442688	0.324369	0.121335	1.785251
0.222000	4.133397	2.832940	655.442688	0.004516	0.161123	0.199813
0.223000	4.979248	3.313798	660.595627	0.524240	0.281177	3.685458
0.224000	4.777605	3.273468	659.661766	0.164589	0.121335	0.675994
0.225000	4.375126	2.913156	655.911789	0.324369	0.281177	3.211336
0.226000	4.294550	2.752280	654.503983	0.364168	0.320735	2.102408
0.227000	4.737114	3.153364	659.502937	0.164589	0.241159	1.784431
0.228000	4.737114	3.153364	658.879326	0.324369	0.161123	1.783520
0.229000	4.495789	2.953043	656.849678	0.164003	0.201371	1.150537
0.230000	4.374722	2.751837	655.910919	0.484149	0.320735	3.684783
0.231000	4.414808	2.752280	655.910027	0.044607	0.121335	-0.274309
0.232000	4.737114	3.193251	658.254997	0.444058	0.400771	3.844902
0.233000	4.696624	3.153364	658.410545	0.044607	0.001511	-0.274309
0.234000	4.172674	2.711950	654.193871	0.403966	0.360753	3.209185
0.235000	4.414808	2.752280	655.283936	0.364168	0.241159	1.943783
0.236000	5.019334	3.353685	660.440987	0.044315	0.121335	1.149626
0.237000	4.495385	2.953043	656.225212	0.444350	0.360753	3.052457
0.238000	4.414808	2.953043	655.754654	-0.035283	0.041529	-0.433661
0.239000	4.494980	2.872827	656.690231	0.564039	0.480577	4.636838
0.240000	4.535471	3.032818	656.846481	0.004516	0.041529	-0.116595
0.241000	4.736306	3.233581	657.941513	0.644222	0.600171	5.905118
0.242000	4.776796	3.193251	658.878616	0.044607	0.041529	-1.068466
0.243000	4.172270	2.672063	654.346039	0.403966	0.400771	3.846049
0.244000	4.575153	2.912714	656.846481	0.244186	0.081088	1.308158
0.245000	4.937949	3.474232	660.440262	0.084406	0.161123	0.515823
0.246000	4.494172	3.113034	656.223602	0.324369	0.360753	2.576859
0.247000	4.333828	2.872827	654.658722	-0.035283	-0.038277	-1.384384
0.248000	4.575153	2.993373	656.843994	0.684020	0.560383	5.905118
0.249000	4.776796	3.193251	658.877014	0.044607	0.001741	-0.433499
0.250000	4.494172	3.193694	655.910194	0.763910	0.640189	6.697217
0.251000	4.655729	3.113477	656.533089	-0.075374	-0.038277	-1.860075
0.252000	4.292933	2.752280	654.969009	0.564039	0.480577	4.795043
0.253000	4.534258	2.953043	656.376656	-0.034990	0.041759	-0.115776
0.254000	4.816882	3.313798	658.097954	0.044607	-0.078065	-0.433661
0.255000	4.695816	3.153364	657.159164	0.564039	0.560383	5.429757
0.256000	4.212356	2.672063	653.094849	0.004809	0.001741	-1.226180
0.257000	4.655325	3.073148	657.158287	0.603838	0.560383	5.588289
0.258000	4.977227	3.353685	658.720673	-0.035283	0.041529	-0.274309
0.259000	4.333019	2.872827	654.661301	0.723819	0.520595	6.062832
0.260000	4.453682	2.993373	654.502548	-0.234568	-0.038277	-2.019190
0.261000	4.735902	3.113034	657.624825	0.523948	0.400771	3.844902
0.262000	4.614430	3.153364	656.689339	0.004809	0.081547	0.358837
0.263000	4.453682	3.153364	655.754654	-0.035283	0.001741	-0.752549
0.264000	4.493768	3.113477	656.221283	0.564039	0.480577	5.587799
0.265000	4.372701	2.872827	654.501579	0.004809	0.041529	0.199813
0.266000	4.775988	3.233581	657.781967	0.684020	0.520595	5.429266
0.267000	4.936332	3.474675	658.250992	-0.155264	-0.038277	-1.544157
0.268000	4.493364	3.032818	655.126076	0.763910	0.520595	6.380808
0.269000	4.292529	2.993373	653.564590	-0.115173	0.001741	-0.432513
0.270000	5.017717	3.393572	659.030060	0.404259	0.241388	2.100349
