BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2453	2453	2453	2460	2460	2460
Contact period end (sample #):	4974	4974	4974	3686	3686	3686
Contact period start time (s):	2.453000	2.453000	2.453000	2.460000	2.460000	2.460000
Contact period end time (s):	4.974000	4.974000	4.974000	3.686000	3.686000	3.686000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	658.043884	658.043884	658.043884	658.043884	658.043884	658.043884
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 29, 2025  14:25:15
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.287000	0.424982	0.685182	-0.343030	0.964623	0.624907	6.723425
0.288000	0.384088	0.565078	-0.345517	0.005357	-0.053559	-1.516219
0.289000	0.102272	0.284098	-2.533185	1.044513	0.784519	7.041073
0.290000	0.948527	0.965720	3.403726	-0.034148	-0.212941	-0.882745
0.291000	0.746480	0.845173	1.997694	0.604679	0.425277	3.395748
0.292000	0.303915	0.484861	-1.750752	0.365302	0.186089	1.494301
0.293000	0.545645	0.725069	0.436916	0.165430	0.026247	0.225692
0.294000	0.626221	0.684739	1.527152	0.884733	0.545101	5.615570
0.295000	0.746480	0.845616	2.466723	0.125339	0.026247	-0.248758
0.296000	0.585731	0.765399	0.907467	0.924532	0.704484	7.041073
0.297000	0.303915	0.404202	-1.595377	0.045449	-0.053559	-1.199810
0.298000	0.303915	0.404202	-1.907897	0.924532	0.624677	7.199277
0.299000	1.029104	1.046379	3.871877	-0.074240	-0.093577	-1.356866
0.300000	0.585731	0.725069	0.748720	0.484990	0.305453	2.444787
0.301000	0.505155	0.644852	-0.657320	0.484990	0.345242	2.605778
0.302000	0.465068	0.605408	0.748720	0.205229	0.026017	0.384225
0.303000	0.384088	0.484861	-0.659002	0.724660	0.425277	5.299162
0.304000	0.707202	0.845616	2.000093	0.125339	0.026247	0.227423
0.305000	0.747288	0.845616	1.687493	0.764459	0.545101	5.930997
0.306000	0.102272	0.405087	-2.687844	0.165137	0.026247	-0.248758
0.307000	0.424982	0.565521	-0.813660	0.644770	0.345471	4.346379
0.308000	0.908037	0.965720	3.871789	0.324917	0.185400	1.336916
0.309000	0.465068	0.605408	0.280656	0.245028	0.185400	0.860169
0.310000	0.465068	0.725512	-0.031227	0.604679	0.385259	4.030462
0.311000	0.465068	0.644852	-0.190054	0.125339	0.026017	-0.249669
0.312000	0.303915	0.404202	-1.284291	0.924239	0.584889	6.247734
0.313000	0.867951	0.885503	2.466723	0.205229	0.066035	0.859587
0.314000	0.625817	0.765399	1.061408	0.724660	0.385259	4.664027
0.315000	0.384492	0.565078	-0.343030	0.405100	0.345242	1.494630
0.316000	0.424982	0.565078	-0.659807	0.484990	0.145841	2.919965
0.317000	0.827461	0.725069	2.464873	0.444899	0.305453	2.447574
0.318000	0.545645	0.725512	0.436916	0.444899	0.305453	2.603228
0.319000	0.586135	0.885503	0.748720	0.405100	0.145841	2.920294
0.320000	0.465068	0.644852	0.593176	0.284826	0.145841	0.542429
0.321000	0.303915	0.364315	-1.284291	0.604679	0.345471	4.505494
0.322000	0.908037	0.885946	3.873479	0.165137	0.066035	0.701873
0.323000	0.585731	0.805286	0.436119	0.484990	0.305453	3.395748
0.324000	0.384492	0.525191	-0.343827	0.405100	0.265206	2.603557
0.325000	0.384492	0.524748	-0.347119	0.405100	0.145841	2.603557
